Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoalsAttempted,X3PointShotsAttempted,FreeThrowsAttempted,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,OppFieldGoalsAttempted,Opp3PointShotsAttempted,OppFreeThrowsAttempted,OppOffRebounds,OppTotalRebounds,OppAssists,OppSteals,OppBlocks,OppTurnovers,OppTotalFouls
BOS,11,2014-11-21,Away,MEM,L,100,117,88,27,21,9,38,22,7,7,12,14,91,16,14,9,50,31,4,4,14,16
BOS,12,2014-11-23,Home,POR,L,88,94,95,23,12,12,46,17,12,1,8,15,86,19,15,10,55,20,7,3,16,13
BOS,13,2014-11-28,Home,CHI,L,102,109,92,22,29,12,42,20,7,2,13,30,90,17,37,18,52,18,5,13,13,21
BOS,14,2014-11-30,Home,SAS,L,89,111,87,18,15,12,42,21,5,5,15,21,85,26,20,10,45,25,9,5,14,11
BOS,15,2014-12-02,Away,ATL,L,105,109,84,23,13,9,42,33,10,3,21,20,82,24,14,4,31,36,8,8,16,14
BOS,16,2014-12-03,Home,DET,W,109,102,93,30,27,8,49,28,8,6,12,21,102,27,29,16,55,20,7,7,11,23
BOS,17,2014-12-05,Home,LAL,W,113,96,90,20,22,10,54,29,6,2,16,19,92,16,19,7,38,14,2,4,12,18
BOS,18,2014-12-07,Home,WAS,W,101,93,88,17,26,9,49,20,10,7,15,21,93,27,21,16,52,21,5,8,19,20
BOS,19,2014-12-08,Away,WAS,L,132,133,102,22,32,14,46,27,17,4,17,30,94,16,34,11,49,32,10,3,23,26
BOS,20,2014-12-10,Away,CHO,L,87,96,87,23,10,6,45,26,3,1,14,27,84,14,29,7,44,18,5,3,10,14
BOS,21,2014-12-12,Home,NYK,L,95,101,85,22,18,12,41,28,3,3,17,18,81,16,18,11,40,26,13,5,13,20
BOS,22,2014-12-15,Away,PHI,W,105,87,86,25,35,16,52,26,15,5,22,23,93,28,21,16,48,19,11,9,22,28
BOS,23,2014-12-17,Home,ORL,W,109,92,80,19,18,7,42,25,9,8,14,16,85,19,15,10,36,17,8,1,12,16
BOS,24,2014-12-19,Home,MIN,W,114,98,85,23,14,12,43,29,9,6,13,20,93,12,16,15,37,23,8,5,13,13
BOS,25,2014-12-21,Away,MIA,L,84,100,83,23,15,14,42,22,6,4,15,18,78,21,26,6,38,18,9,3,8,14
BOS,26,2014-12-23,Away,ORL,L,95,100,85,23,29,9,45,22,10,4,12,21,83,18,23,7,45,23,7,4,14,21
BOS,27,2014-12-26,Home,BRK,L,107,109,87,24,11,5,37,32,8,3,14,23,83,21,28,13,43,19,9,3,15,10
BOS,28,2014-12-27,Away,WAS,L,88,101,79,24,24,8,36,17,10,2,18,15,90,13,10,9,48,28,11,4,18,24
BOS,29,2014-12-31,Home,SAC,W,106,84,94,21,15,9,49,32,9,7,11,23,87,15,28,11,46,12,9,5,16,17
BOS,30,2015-01-02,Home,DAL,L,101,119,89,34,19,9,38,22,6,2,12,21,96,27,17,16,52,24,8,1,11,21
BOS,31,2015-01-03,Away,CHI,L,104,109,100,17,11,10,45,26,9,6,20,28,100,28,40,24,59,19,10,9,16,14
BOS,32,2015-01-05,Home,CHO,L,95,104,91,18,23,10,33,22,8,7,6,23,78,19,23,12,48,22,2,10,15,22
BOS,33,2015-01-07,Away,BRK,W,89,81,88,18,17,11,41,22,8,2,6,26,74,14,26,11,50,18,3,6,17,18
BOS,34,2015-01-09,Away,IND,L,103,107,103,34,16,13,50,25,10,7,10,27,92,23,34,16,56,21,5,9,16,18
BOS,35,2015-01-10,Away,TOR,L,96,109,83,18,20,9,43,23,7,3,18,21,91,30,19,15,48,23,8,10,13,20
BOS,36,2015-01-12,Home,NOP,W,108,100,88,24,31,17,44,24,8,5,11,23,75,15,37,16,45,20,7,6,18,23
BOS,37,2015-01-14,Home,ATL,L,91,105,83,33,14,13,40,22,5,2,16,23,73,29,27,6,35,23,13,7,12,12
BOS,38,2015-01-16,Home,CHI,L,103,119,85,16,16,11,45,29,5,4,13,16,89,25,12,8,36,28,12,6,7,14
BOS,39,2015-01-19,Away,LAC,L,93,102,84,29,21,12,43,24,6,2,13,14,82,21,19,10,44,27,6,10,11,14
BOS,40,2015-01-22,Away,POR,W,90,89,87,19,7,10,47,23,8,5,16,19,89,28,19,13,45,16,8,6,10,13
BOS,41,2015-01-23,Away,DEN,W,100,99,75,21,27,8,41,20,8,6,14,24,89,21,26,17,48,20,8,2,12,19
BOS,42,2015-01-25,Away,GSW,L,111,114,95,28,27,13,48,23,5,3,14,21,89,23,25,9,47,29,9,3,13,20
BOS,43,2015-01-26,Away,UTA,W,99,90,74,19,23,5,37,18,8,3,14,15,82,24,19,10,39,18,9,10,14,23
BOS,44,2015-01-28,Away,MIN,L,98,110,91,23,9,9,39,22,9,4,13,22,77,16,32,6,45,18,6,4,11,11
BOS,45,2015-01-30,Home,HOU,L,87,93,90,24,23,14,48,14,8,5,11,23,84,30,20,12,50,22,6,4,16,18
BOS,46,2015-02-01,Home,MIA,L,75,83,81,19,18,8,40,24,7,3,13,19,77,21,21,10,46,18,7,9,16,18
BOS,47,2015-02-03,Away,NYK,W,108,97,77,24,23,11,39,23,6,0,15,11,83,20,11,12,35,22,7,2,13,18
BOS,48,2015-02-04,Home,DEN,W,104,100,99,28,17,19,51,27,10,3,13,21,80,24,33,14,48,18,9,6,15,19
BOS,49,2015-02-06,Home,PHI,W,107,96,86,27,25,11,53,27,8,4,10,24,79,25,31,11,44,22,6,3,17,19
BOS,50,2015-02-07,Away,MIL,L,93,96,86,29,20,11,44,20,7,1,11,19,75,20,19,6,40,21,6,6,12,20
BOS,51,2015-02-11,Home,ATL,W,89,88,93,31,20,16,56,21,7,4,10,23,78,29,23,5,44,23,6,5,12,17
BOS,52,2015-02-20,Away,SAC,L,101,109,100,22,26,19,40,24,14,3,11,23,83,22,26,17,57,26,6,5,24,19
BOS,53,2015-02-22,Away,LAL,L,111,118,98,33,27,13,48,27,9,5,16,31,84,18,38,6,46,22,8,4,17,27
BOS,54,2015-02-23,Away,PHO,W,115,110,89,29,30,9,42,26,13,1,15,14,97,32,16,15,50,25,9,7,17,24
BOS,55,2015-02-25,Home,NYK,W,115,94,83,31,20,8,46,29,6,1,13,26,82,21,31,9,41,19,6,4,13,20
BOS,56,2015-02-27,Home,CHO,W,106,98,96,35,15,14,47,24,8,5,8,15,82,21,17,8,48,19,8,7,16,18
BOS,57,2015-03-01,Home,GSW,L,101,106,109,31,17,21,60,21,4,3,8,17,95,34,17,15,55,19,4,8,10,18
BOS,58,2015-03-03,Away,CLE,L,79,110,88,28,13,11,42,23,4,3,14,21,89,28,14,12,52,28,10,6,11,18
BOS,59,2015-03-04,Home,UTA,W,85,84,88,27,20,12,39,21,5,3,3,20,75,19,21,11,51,21,1,4,13,19
BOS,60,2015-03-06,Away,NOP,W,104,98,79,23,25,7,37,19,8,1,11,17,80,21,15,9,45,22,5,6,18,15
BOS,61,2015-03-08,Away,ORL,L,98,103,89,34,16,18,48,24,9,3,14,23,87,22,30,18,56,20,8,8,15,15
BOS,62,2015-03-09,Away,MIA,W,100,90,87,25,17,16,43,17,7,2,9,25,69,17,34,5,32,15,5,2,13,17
BOS,63,2015-03-11,Home,MEM,W,95,92,85,27,17,12,36,28,11,5,16,16,78,12,13,10,41,21,11,4,21,19
BOS,64,2015-03-13,Home,ORL,W,95,88,86,26,20,10,47,19,7,4,16,23,80,20,28,10,50,20,9,4,19,21
BOS,65,2015-03-14,Away,IND,W,93,89,83,28,21,9,47,28,7,4,11,18,85,24,15,9,42,16,4,3,14,23
BOS,66,2015-03-16,Home,PHI,W,108,89,88,20,15,5,42,27,7,3,11,21,84,24,24,9,40,20,7,4,16,20
BOS,67,2015-03-18,Away,OKC,L,118,122,84,34,28,11,39,32,10,5,20,28,88,19,39,18,46,19,12,2,16,26
BOS,68,2015-03-20,Away,SAS,L,89,101,88,20,20,14,47,19,10,2,15,19,81,23,23,7,45,31,11,4,13,14
BOS,69,2015-03-22,Home,DET,L,97,105,105,27,17,18,59,24,7,5,13,23,89,26,30,11,56,24,5,10,14,21
BOS,70,2015-03-23,Away,BRK,W,110,91,92,22,14,8,47,25,7,4,9,21,89,17,30,16,48,15,7,5,11,13
BOS,71,2015-03-25,Home,MIA,L,86,93,69,19,37,10,43,16,8,4,16,25,77,24,23,8,38,23,7,6,16,28
BOS,72,2015-03-27,Away,NYK,W,96,92,69,20,43,9,44,18,6,1,16,17,87,24,14,9,36,23,9,2,12,31
BOS,73,2015-03-29,Home,LAC,L,106,119,93,31,23,9,40,29,8,1,10,32,84,32,40,13,53,28,5,5,12,21
BOS,74,2015-03-30,Away,CHO,W,116,104,89,26,23,13,42,28,7,1,7,21,85,26,19,10,40,20,3,6,10,17
BOS,75,2015-04-01,Home,IND,W,100,87,86,27,18,7,46,29,9,2,10,23,81,15,23,8,39,17,5,3,12,20
BOS,76,2015-04-03,Home,MIL,L,101,110,88,24,16,9,41,19,7,2,16,20,85,24,18,9,45,31,10,6,18,20
BOS,77,2015-04-04,Away,TOR,W,117,116,97,26,22,12,44,26,10,4,15,28,83,23,38,9,46,15,7,4,16,22
BOS,78,2015-04-08,Away,DET,W,113,103,80,28,34,10,37,20,12,2,11,15,84,18,10,11,41,29,7,5,19,25
BOS,79,2015-04-10,Away,CLE,W,99,90,84,22,21,11,43,30,11,2,14,24,77,34,25,12,42,25,4,2,20,21
BOS,80,2015-04-12,Home,CLE,W,117,78,84,24,22,6,38,29,20,1,7,22,79,22,19,11,44,18,1,5,24,18
BOS,81,2015-04-14,Home,TOR,W,95,93,99,27,15,17,50,24,7,6,14,19,80,24,20,7,43,17,9,9,18,18
BOS,82,2015-04-15,Away,MIL,W,105,100,85,30,14,8,38,37,9,5,16,16,89,21,16,16,48,35,7,2,17,17
BRK,1,2014-10-29,Away,BOS,L,105,121,80,19,26,9,39,20,6,7,20,21,88,22,23,9,35,28,11,5,12,25
BRK,2,2014-11-01,Away,DET,W,102,90,87,26,13,12,48,18,3,3,8,23,76,17,35,10,41,21,3,3,7,15
BRK,3,2014-11-03,Home,OKC,W,116,85,84,23,19,9,42,25,11,3,8,21,82,23,21,15,44,14,3,3,17,17
BRK,4,2014-11-05,Home,MIN,L,91,98,82,21,17,7,42,17,6,5,18,22,90,17,22,13,51,22,9,4,11,21
BRK,5,2014-11-07,Home,NYK,W,110,99,74,24,26,7,42,18,6,6,16,24,90,19,21,15,43,22,7,2,14,24
BRK,6,2014-11-09,Home,ORL,W,104,96,83,14,23,14,45,23,10,5,14,21,75,15,16,5,31,25,7,2,17,24
BRK,7,2014-11-12,Away,PHO,L,104,112,74,21,32,8,37,17,9,4,19,25,81,24,29,12,44,20,10,2,20,22
BRK,8,2014-11-13,Away,GSW,L,99,107,89,16,20,7,41,19,5,2,12,22,90,34,21,14,45,30,7,10,10,16
BRK,9,2014-11-15,Away,POR,L,87,97,89,19,17,12,43,15,7,2,9,24,78,26,27,13,47,26,6,3,14,16
BRK,10,2014-11-17,Home,MIA,L,83,95,70,23,26,11,35,18,10,5,12,19,72,27,27,10,41,19,6,2,14,24
BRK,11,2014-11-19,Home,MIL,L,118,122,92,31,29,10,49,26,7,6,20,25,108,24,28,16,51,23,12,4,13,28
BRK,12,2014-11-21,Away,OKC,W,94,92,67,15,30,10,38,17,2,6,18,17,85,20,19,13,36,18,9,9,13,25
BRK,13,2014-11-22,Away,SAS,L,87,99,91,27,10,13,44,24,5,5,11,14,79,21,11,6,48,29,7,9,14,9
BRK,14,2014-11-26,Away,PHI,W,99,91,71,24,28,4,40,25,10,7,24,19,85,24,17,13,42,23,11,5,20,24
BRK,15,2014-11-30,Home,CHI,L,84,102,86,14,24,7,34,16,9,0,10,25,69,24,34,7,50,19,6,5,19,24
BRK,16,2014-12-02,Away,NYK,W,98,93,89,17,20,21,49,22,7,5,14,20,81,28,14,13,40,22,8,3,14,21
BRK,17,2014-12-03,Home,SAS,W,95,93,90,19,18,9,54,20,2,2,10,10,101,32,12,18,58,23,5,6,8,19
BRK,18,2014-12-05,Home,ATL,L,75,98,80,18,19,9,51,16,4,2,17,21,81,34,24,6,46,22,12,4,10,22
BRK,19,2014-12-08,Home,CLE,L,88,110,81,19,19,10,33,25,6,2,12,18,90,25,22,20,55,25,10,5,13,17
BRK,20,2014-12-10,Away,CHI,L,80,105,88,14,24,15,44,16,9,5,11,25,79,22,32,15,57,21,6,11,15,18
BRK,21,2014-12-12,Home,PHI,W,88,70,81,20,17,13,47,25,16,5,17,15,69,28,20,10,37,18,10,4,23,20
BRK,22,2014-12-13,Away,CHO,W,114,87,72,23,20,4,43,29,4,4,13,24,79,22,27,9,34,16,3,4,6,19
BRK,23,2014-12-16,Home,MIA,L,91,95,77,28,32,11,37,25,9,2,17,26,72,24,26,7,41,20,9,2,18,23
